t_values,ir_values,red_values
10.637744,41705.0,59990.0
10.650288,41709.0,60005.0
10.663116,41700.0,59994.0
10.674084,41707.0,59981.0
10.68756,41712.0,60019.0
10.700108,41701.0,60018.0
10.712948,41703.0,60015.0
10.72392,41721.0,60001.0
10.737388,41705.0,59977.0
10.749936,41695.0,59983.0
10.762784,41702.0,59968.0
10.773752,41689.0,59975.0
10.787224,41697.0,59953.0
10.799772,41684.0,59970.0
10.812608,41689.0,59945.0
10.823572,41681.0,59945.0
10.837052,41682.0,59952.0
10.849592,41688.0,59963.0
10.862424,41690.0,59969.0
10.873388,41692.0,59962.0
10.88686,41698.0,59963.0
10.899408,41682.0,59965.0
10.91196,41689.0,59968.0
10.924796,41698.0,59962.0
10.935768,41680.0,59957.0
10.949236,41700.0,59961.0
10.96178,41695.0,59984.0
10.974616,41704.0,59985.0
10.985588,41687.0,59991.0
10.999068,41675.0,59994.0
11.011628,41702.0,59992.0
11.024456,41693.0,59979.0
11.035428,41681.0,59959.0
11.048908,41684.0,59987.0
11.061464,41691.0,59985.0
11.0743,41680.0,59978.0
11.085272,41682.0,59998.0
11.09874,41673.0,59977.0
11.111292,41688.0,59985.0
11.124124,41698.0,59983.0
11.135096,41680.0,59982.0
11.148572,41680.0,60000.0
11.161124,41694.0,59975.0
11.173952,41691.0,59997.0
11.184924,41690.0,59999.0
11.198396,41684.0,60002.0
11.210952,41673.0,59990.0
11.223792,41671.0,59981.0
11.234764,41685.0,59990.0
11.24824,41695.0,59999.0
11.260784,41680.0,59979.0
11.27334,41686.0,59999.0
11.28618,41675.0,60020.0
11.297152,41686.0,60011.0
11.31062,41689.0,60014.0
11.323172,41669.0,60021.0
11.336008,41699.0,60021.0
11.346976,41683.0,60036.0
11.360444,41692.0,60016.0
11.372988,41688.0,60021.0
11.38582,41680.0,60034.0
11.396784,41676.0,60048.0
11.410256,41689.0,60048.0
11.422804,41675.0,60049.0
11.435644,41670.0,60044.0
11.446612,41685.0,60044.0
11.460084,41669.0,60047.0
11.472632,41667.0,60044.0
11.485188,41689.0,60045.0
11.498012,41669.0,60024.0
11.508984,41662.0,60013.0
11.522456,41655.0,60014.0
11.535,41663.0,59992.0
11.547832,41674.0,59975.0
11.5588,41657.0,59986.0
11.572276,41662.0,59976.0
11.584816,41640.0,59978.0
11.597652,41674.0,59955.0
11.608624,41674.0,59960.0
11.622092,41656.0,59951.0
11.63464,41646.0,59936.0
11.647476,41648.0,59934.0
11.658448,41639.0,59947.0
11.671924,41624.0,59928.0
11.684472,41635.0,59916.0
